"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N299PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N299WN",NA,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N300PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N3014R",2013,"Fixed wing multi engine","AIRBUS","A319-115",2,147,0,"Turbo-fan"
"N301DV",2016,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N301FR",2016,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N301NW",2016,"Fixed wing multi engine","BOEING","737-800",2,189,0,"Turbo-fan"
"N301PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N302DN",2016,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N302PQ",2014,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N302SS",NA,"Fixed wing multi engine","BOEING","737-8",2,185,0,"Turbo-fan"
"N303DN",2016,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
